2016753,1051,10574690,130032,1244649,72774,728,963,19,308,0,0,0,246,0,383458,258747,0,0,18852,0,141,3374,0,3055,38022,265477,0,2287,1633668,0,0
0,5737,35,81,30210,163097,3965298,1172353,499962,502172,1742,998,166,665,123,49475,1242844,1636985,122,0,0,0,59,0,1140,4706,159,0,97,1239,0,939
1412506,0,6555523,26268,29196,131905,80,4202,31,0,0,0,0,0,0,59925,0,0,0,19126,0,0,11289,0,12081,40558,740334,0,0,8234121,0,322
150738,13599,94460,3586418,155150,39763,9664,44617,21783,15643,42722,68820,227401,127551,11981,253515,359856,9149,46026,607432,123357,4033,166117,24433,189010,56153,208167,158849,214258,322450,51047,52209
222938,5004,937182,124727,5963439,540803,875,269169,22153,46407,116143,75485,447346,104072,33230,2356432,5929309,25284,30511,1137424,219302,63663,523915,44560,106872,193766,219927,105144,364540,465840,1285475,73524
1004997,17782,431460,912140,664816,8118602,69325,243789,146113,106849,183254,221794,602866,444985,34546,3947093,556205,12427,114235,921,1297,2008,29495,25893,33580,138119,7319754,12696,273262,468007,193685,69160
250544,16610,118271,43581,134858,823364,513844,144225,534435,35879,44262,41973,63944,66504,3897,60065,1000190,882230,86477,144919,14620,42112,5461536,17926,134393,184913,175948,19266,129358,230508,0,54092
27957,334,288579,6526,134717,181951,10950,1304090,196414,39501,86282,205064,622657,354444,82563,114853,8381297,1552,23128,58373,898,5719,4790,1,11709,57131,65545,6045,70346,203669,8289,51501
534,2695,0,380,195009,1536,0,122914,10412698,11054,3547664,2629206,859749,1764888,49402,83536,1854435,0,3208,0,0,0,22564,0,899,0,364,25,8195,1484,33,59652
0,421,50825,214,27827,108402,219,45414,167850,2698446,1010481,644894,1771658,821099,100299,252987,847692,14044,1194,1247,0,0,777,0,5979,0,48605,659,11092,19582,747,33144
30442,32624,964370,30281,281496,288691,28229,107133,21506,15289,1157801,1249379,1003423,526687,64839,290771,10256585,16111,4886,312653,2097,25410,101103,3777,168783,2813,12777,9429,97018,132458,471,64933
907,8611,12,0,47384,843,148,27697,13037,3966,40399,5949547,542363,636591,54232,73277,715622,160,29872,855,0,0,5299,236,10676,0,0,0,1878976,19840,104276,0
5928,922,271,25,4426,1698,19,57,83,2734,87364,1538992,16163675,2066947,359596,248521,1237218,351,492,35182,5095,1112,17799,38832,313212,59725,2644,0,1311476,37778,35057,6639
73895,55,0,0,0,0,0,0,0,0,0,0,0,19063452,0,0,0,0,0,0,0,0,594023,0,756201,1021,0,0,2115365,2436,0,0
2182,34,131,186,787,811,16,395,69,44,768,204504,66225,40446,571084,3772,7379,0,862,225715,2432,411,1946,778,29364,473,298944,131,58789,22570,0,0
213664,26447,1153189,626300,567318,692105,11867,154761,71277,113876,239853,949995,2365675,2047665,261660,6161916,2585452,127246,277184,1908640,1060404,58987,388635,267695,1313828,1489428,494465,458583,3966047,1048818,357569,166610
50332,10497,97100,40820,107898,172070,28600,135799,171809,39851,130561,87895,176174,81936,17057,103339,224214,969847,196520,592386,134029,2278817,471174,159065,462686,410367,190864,9001,186667,382376,0,0
60324,41298,471253,171698,407348,845867,97099,333858,667239,184806,279501,259351,537122,367516,40936,516714,484172,1660084,362883,930898,129833,192179,653448,125601,399459,703068,590966,17256,372056,1204506,0,11650
11301,5816,132016,36237,48232,169022,12431,46540,50007,11046,21543,58802,55261,41414,8000,40242,136079,98373,382118,234518,64176,34330,222907,55487,453376,322276,335086,12355,55227,994013,0,79852
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140300,0,0,0,0,0,0,0,0,0,0,0,0
530268,73258,299062,331660,305165,446629,181017,266282,270701,120615,280958,401560,435612,382289,87324,530519,953345,637218,86552,5866190,3534837,3270553,3087894,225208,82355,161317,534400,84168,3269488,1333300,0,900313
4159,15669,79897,73943,71988,109170,17512,65797,68160,16732,84224,124090,160122,59750,21488,182473,273086,226214,27100,3841571,677165,479022,830828,244458,49810,503988,358727,105977,718770,1076487,0,73546
401022,394918,401344,132173,205718,258139,29115,274785,186125,57789,247176,295331,491550,167298,41655,547314,2466616,126928,228747,5109724,638787,134864,5076848,395065,737285,423406,337532,97376,790943,1061265,0,115256
13526,7562,77049,49107,33110,109822,16688,20564,18381,17164,67370,96487,120024,53757,15438,173220,491263,66006,45768,1901388,673976,43531,346501,916686,382638,343341,190534,90905,2588852,501841,0,9836
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461434
13607,2955,219693,90694,91626,1945802,52872,203398,187132,153250,138129,758834,3315971,1365013,238159,404818,255543,375558,1117,151662,16159,224,86457,281404,8536,10,6608,0,123419,14420,0,40984
0,0,0,0,17,219,0,0,23,0,0,0,0,0,0,40,20,24,92,700,421,85,634,534,149,137,952909,28,290,1130,0,0
3271,2474,30935,11153,13337,40586,5098,10677,18113,2441,19240,48078,36463,11266,2513,28935,93782,28902,48032,57969,83972,15709,58749,13879,220,43155,45887,0,133724,203433,0,2524
155813,62979,1234179,382250,469894,1413471,125064,379898,425055,158607,610886,1145485,2282539,1058255,166812,1363219,6606976,1539847,442342,4966030,3671057,968821,6376038,1144148,1809545,1460288,1299306,301450,6087794,1827268,0,245399
5549,417,9484,3054,4236,6347,1035,2341,5317,1746,3866,7164,13392,7639,1006,31039,39145,7590,3815,159888,21718,41982,36495,550703,41955,40329,450225,20068,333538,975788,0,45584
8954,2283,54919,25977,25612,17886,1198,15765,10607,4480,34776,49230,81279,28799,5263,56717,46359,22068,16960,479370,161765,30337,102093,39415,87329,159774,110101,26368,190165,140103,0,1031
169475,25639,256720,106326,191703,301274,9773,55969,242643,48095,193611,381114,377457,108218,21124,307681,200858,122027,69146,673430,163598,574679,256909,134490,479290,392813,114263,50705,453992,282671,334,0
